requete;11pt_avg;P_1;P_10;P_100;P_1000;P_15;P_2;P_20;P_200;P_30;P_5;P_50;P_500;Rndcg;Rprec;bpref;iprec_at_recall_0.00;iprec_at_recall_0.10;iprec_at_recall_0.20;iprec_at_recall_0.30;iprec_at_recall_0.40;iprec_at_recall_0.50;iprec_at_recall_0.60;iprec_at_recall_0.70;iprec_at_recall_0.80;iprec_at_recall_0.90;iprec_at_recall_1.00;map;ndcg;ndcg_cut_10;ndcg_cut_100;ndcg_cut_1000;ndcg_cut_15;ndcg_cut_20;ndcg_cut_200;ndcg_cut_30;ndcg_cut_5;ndcg_cut_500;ndcg_rel;num_rel;num_rel_ret;num_ret;recall_1;recall_10;recall_100;recall_1000;recall_15;recall_2;recall_20;recall_200;recall_30;recall_5;recall_50;recall_500;recip_rank;relative_P_1;relative_P_10;relative_P_100;relative_P_1000;relative_P_15;relative_P_2;relative_P_20;relative_P_200;relative_P_30;relative_P_5;relative_P_50;relative_P_500;set_F;set_P;set_map;set_recall;set_relative_P;success_1;success_10;success_5
261;0.0227;0.0;0.1000;0.0200;0.0020;0.0667;0.0;0.0500;0.0100;0.0333;0.2000;0.0;0.0040;0.0363;0.0476;0.0816;0.2500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0132;0.0630;0.0645;0.0630;0.0630;0.0539;0.0470;0.0630;0.0458;0.0848;0.0630;0.0644;21;2;0.0;0.0;0.0476;0.0952;0.0952;0.0476;0.0;0.0476;0.0952;0.0476;0.0476;0.0;0.0952;0.2500;0.0;0.1000;0.0952;0.0952;0.0667;0.0;0.0500;0.0952;0.0476;0.2000;0.0;0.0952;0.0039;0.0020;0.0002;0.0952;0.0952;0.0000;1.0000;1.0000
262;0.0101;0.0;0.0000;0.0400;0.0070;0.0000;0.0;0.1000;0.0250;0.1000;0.0000;0.0;0.0100;0.0207;0.0238;0.0321;0.1111;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0018;0.0337;0.0000;0.0351;0.0337;0.0000;0.0476;0.0294;0.0561;0.0000;0.0285;0.0339;210;7;0.0;0.0;0.0000;0.0190;0.0333;0.0000;0.0;0.0095;0.0238;0.0143;0.0000;0.0;0.0238;0.0588;0.0;0.0000;0.0400;0.0333;0.0000;0.0;0.1000;0.0250;0.1000;0.0000;0.0;0.0238;0.0116;0.0070;0.0002;0.0333;0.0333;0.0000;0.0000;0.0000
263;0.0227;0.0;0.1000;0.0300;0.0040;0.0667;0.0;0.0500;0.0200;0.0333;0.2000;0.0;0.0080;0.0366;0.0261;0.0255;0.2500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0023;0.0276;0.0507;0.0303;0.0276;0.0439;0.0392;0.0276;0.0328;0.0730;0.0276;0.0281;153;4;0.0;0.0;0.0065;0.0196;0.0261;0.0065;0.0;0.0065;0.0261;0.0065;0.0065;0.0;0.0261;0.2500;0.0;0.1000;0.0300;0.0261;0.0667;0.0;0.0500;0.0261;0.0333;0.2000;0.0;0.0261;0.0069;0.0040;0.0001;0.0261;0.0261;0.0000;1.0000;1.0000
264;0.0455;0.0;0.1000;0.0300;0.0060;0.0667;0.0;0.0500;0.0150;0.0333;0.2000;0.0;0.0120;0.0628;0.0429;0.0841;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0094;0.0710;0.0694;0.0479;0.0710;0.0606;0.0545;0.0479;0.0460;0.1070;0.0710;0.0721;70;6;0.0;0.0;0.0143;0.0429;0.0857;0.0143;0.0;0.0143;0.0429;0.0143;0.0143;0.0;0.0857;0.5000;0.0;0.1000;0.0429;0.0857;0.0667;0.0;0.0500;0.0429;0.0333;0.2000;0.0;0.0857;0.0112;0.0060;0.0005;0.0857;0.0857;0.0000;1.0000;1.0000
265;0.0306;0.0;0.2000;0.0300;0.0030;0.1333;0.0;0.1000;0.0150;0.0667;0.0000;0.0;0.0060;0.0528;0.0952;0.1134;0.2857;0.0508;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0240;0.1383;0.1570;0.1383;0.1383;0.1403;0.1281;0.1383;0.1260;0.0000;0.1383;0.1384;21;3;0.0;0.0;0.0952;0.1429;0.1429;0.0952;0.0;0.0952;0.1429;0.0952;0.0000;0.0;0.1429;0.1667;0.0;0.2000;0.1429;0.1429;0.1333;0.0;0.1000;0.1429;0.0952;0.0000;0.0;0.1429;0.0059;0.0030;0.0004;0.1429;0.1429;0.0000;1.0000;0.0000
266;0.0033;0.0;0.0000;0.0200;0.0100;0.0000;0.0;0.0000;0.0250;0.0000;0.0000;0.0;0.0180;0.0129;0.0207;0.0397;0.0367;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0009;0.0305;0.0000;0.0167;0.0305;0.0000;0.0000;0.0189;0.0000;0.0000;0.0279;0.0301;241;10;0.0;0.0;0.0000;0.0083;0.0415;0.0000;0.0;0.0000;0.0207;0.0000;0.0000;0.0;0.0373;0.0189;0.0;0.0000;0.0200;0.0415;0.0000;0.0;0.0000;0.0250;0.0000;0.0000;0.0;0.0373;0.0161;0.0100;0.0004;0.0415;0.0415;0.0000;0.0000;0.0000
267;0.0455;0.0;0.1000;0.0100;0.0010;0.0667;0.0;0.0500;0.0050;0.0333;0.2000;0.0;0.0020;0.0165;0.0118;0.0118;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0059;0.0149;0.0463;0.0149;0.0149;0.0359;0.0299;0.0149;0.0230;0.0713;0.0149;0.0163;85;1;0.0;0.0;0.0118;0.0118;0.0118;0.0118;0.0;0.0118;0.0118;0.0118;0.0118;0.0;0.0118;0.5000;0.0;0.1000;0.0118;0.0118;0.0667;0.0;0.0500;0.0118;0.0333;0.2000;0.0;0.0118;0.0018;0.0010;0.0000;0.0118;0.0118;0.0000;1.0000;1.0000
268;0.0909;0.0;0.1000;0.0200;0.0040;0.0667;0.0;0.0500;0.0100;0.0333;0.2000;0.0;0.0060;0.0577;0.0153;0.0289;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0080;0.0369;0.0858;0.0353;0.0369;0.0700;0.0601;0.0315;0.0479;0.1182;0.0344;0.0392;131;4;0.0;0.0;0.0076;0.0153;0.0305;0.0076;0.0;0.0076;0.0153;0.0076;0.0076;0.0;0.0229;1.0000;0.0;0.1000;0.0200;0.0305;0.0667;0.0;0.0500;0.0153;0.0333;0.2000;0.0;0.0229;0.0071;0.0040;0.0001;0.0305;0.0305;1.0000;1.0000;1.0000
269;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;27;0;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
270;0.0103;0.0;0.0000;0.0600;0.0080;0.0000;0.0;0.0000;0.0300;0.0667;0.0000;0.0;0.0120;0.0315;0.0758;0.1100;0.1000;0.0132;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0072;0.0762;0.0000;0.0625;0.0762;0.0000;0.0000;0.0625;0.0368;0.0000;0.0625;0.0733;66;8;0.0;0.0;0.0000;0.0909;0.1212;0.0000;0.0;0.0000;0.0909;0.0303;0.0000;0.0;0.0909;0.0417;0.0;0.0000;0.0909;0.1212;0.0000;0.0;0.0000;0.0909;0.0667;0.0000;0.0;0.0909;0.0150;0.0080;0.0010;0.1212;0.1212;0.0000;0.0000;0.0000
