requete;11pt_avg;P_1;P_10;P_100;P_1000;P_15;P_2;P_20;P_200;P_30;P_5;P_50;P_500;Rndcg;Rprec;bpref;iprec_at_recall_0.00;iprec_at_recall_0.10;iprec_at_recall_0.20;iprec_at_recall_0.30;iprec_at_recall_0.40;iprec_at_recall_0.50;iprec_at_recall_0.60;iprec_at_recall_0.70;iprec_at_recall_0.80;iprec_at_recall_0.90;iprec_at_recall_1.00;map;ndcg;ndcg_cut_10;ndcg_cut_100;ndcg_cut_1000;ndcg_cut_15;ndcg_cut_20;ndcg_cut_200;ndcg_cut_30;ndcg_cut_5;ndcg_cut_500;ndcg_rel;num_rel;num_rel_ret;num_ret;recall_1;recall_10;recall_100;recall_1000;recall_15;recall_2;recall_20;recall_200;recall_30;recall_5;recall_50;recall_500;recip_rank;relative_P_1;relative_P_10;relative_P_100;relative_P_1000;relative_P_15;relative_P_2;relative_P_20;relative_P_200;relative_P_30;relative_P_5;relative_P_50;relative_P_500;set_F;set_P;set_map;set_recall;set_relative_P;success_1;success_10;success_5
261;0.0455;0.0;0.1000;0.0100;0.0020;0.0667;0.0;0.0500;0.0100;0.0333;0.2000;0.0;0.0040;0.0992;0.0476;0.0794;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0246;0.0825;0.0945;0.0672;0.0825;0.0789;0.0688;0.0825;0.0672;0.1242;0.0825;0.0878;21;2;0.0;0.0;0.0476;0.0476;0.0952;0.0476;0.0;0.0476;0.0952;0.0476;0.0476;0.0;0.0952;0.5000;0.0;0.1000;0.0476;0.0952;0.0667;0.0;0.0500;0.0952;0.0476;0.2000;0.0;0.0952;0.0039;0.0020;0.0002;0.0952;0.0952;0.0000;1.0000;1.0000
262;0.0152;0.0;0.1000;0.0400;0.0070;0.0667;0.0;0.1000;0.0200;0.1000;0.0000;0.0;0.0120;0.0218;0.0190;0.0321;0.1667;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0023;0.0370;0.0475;0.0463;0.0370;0.0404;0.0592;0.0293;0.0662;0.0000;0.0343;0.0374;210;7;0.0;0.0;0.0048;0.0190;0.0333;0.0048;0.0;0.0095;0.0190;0.0143;0.0000;0.0;0.0286;0.1667;0.0;0.1000;0.0400;0.0333;0.0667;0.0;0.1000;0.0200;0.1000;0.0000;0.0;0.0286;0.0116;0.0070;0.0002;0.0333;0.0333;0.0000;1.0000;0.0000
263;0.0909;0.0;0.2000;0.0400;0.0090;0.2000;0.0;0.2000;0.0400;0.1333;0.2000;0.0;0.0180;0.1095;0.0458;0.0575;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0130;0.0824;0.1596;0.0740;0.0824;0.1637;0.1675;0.0787;0.1404;0.1696;0.0824;0.0870;153;9;0.0;0.0;0.0131;0.0261;0.0588;0.0196;0.0;0.0261;0.0523;0.0261;0.0065;0.0;0.0588;1.0000;0.0;0.2000;0.0400;0.0588;0.2000;0.0;0.2000;0.0523;0.1333;0.2000;0.0;0.0588;0.0156;0.0090;0.0005;0.0588;0.0588;1.0000;1.0000;1.0000
264;0.0923;0.0;0.1000;0.0600;0.0070;0.0667;0.0;0.0500;0.0300;0.0333;0.2000;0.0;0.0140;0.1063;0.0857;0.0961;1.0000;0.0152;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0212;0.1071;0.1100;0.1017;0.1071;0.0961;0.0863;0.1017;0.0730;0.1696;0.1071;0.1128;70;7;0.0;0.0;0.0143;0.0857;0.1000;0.0143;0.0;0.0143;0.0857;0.0143;0.0143;0.0;0.1000;1.0000;0.0;0.1000;0.0857;0.1000;0.0667;0.0;0.0500;0.0857;0.0333;0.2000;0.0;0.1000;0.0131;0.0070;0.0007;0.1000;0.1000;1.0000;1.0000;1.0000
265;0.0625;0.0;0.2000;0.0300;0.0030;0.1333;0.0;0.1500;0.0150;0.1000;0.4000;0.0;0.0060;0.1845;0.1429;0.1293;0.5000;0.1875;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0518;0.2113;0.2412;0.2113;0.2113;0.2155;0.2148;0.2113;0.2113;0.2819;0.2113;0.2209;21;3;0.0;0.0;0.0952;0.1429;0.1429;0.0952;0.0;0.1429;0.1429;0.1429;0.0952;0.0;0.1429;0.5000;0.0;0.2000;0.1429;0.1429;0.1333;0.0;0.1500;0.1429;0.1429;0.4000;0.0;0.1429;0.0059;0.0030;0.0004;0.1429;0.1429;0.0000;1.0000;1.0000
266;0.0101;0.0;0.1000;0.0500;0.0090;0.0667;0.0;0.0500;0.0300;0.0333;0.0000;0.0;0.0140;0.0281;0.0290;0.0363;0.1111;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0021;0.0350;0.0558;0.0360;0.0350;0.0454;0.0406;0.0281;0.0341;0.0000;0.0295;0.0352;241;9;0.0;0.0;0.0041;0.0207;0.0373;0.0041;0.0;0.0041;0.0249;0.0041;0.0000;0.0;0.0290;0.1111;0.0;0.1000;0.0500;0.0373;0.0667;0.0;0.0500;0.0300;0.0333;0.0000;0.0;0.0290;0.0145;0.0090;0.0003;0.0373;0.0373;0.0000;1.0000;0.0000
267;0.0076;0.0;0.0000;0.0100;0.0010;0.0667;0.0;0.0500;0.0050;0.0333;0.0000;0.0;0.0020;0.0071;0.0118;0.0116;0.0833;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0010;0.0064;0.0000;0.0064;0.0064;0.0154;0.0128;0.0064;0.0098;0.0000;0.0064;0.0065;85;1;0.0;0.0;0.0000;0.0118;0.0118;0.0118;0.0;0.0118;0.0118;0.0118;0.0000;0.0;0.0118;0.0833;0.0;0.0000;0.0118;0.0118;0.0667;0.0;0.0500;0.0118;0.0333;0.0000;0.0;0.0118;0.0018;0.0010;0.0000;0.0118;0.0118;0.0000;0.0000;0.0000
268;0.0455;0.0;0.1000;0.0200;0.0040;0.1333;0.0;0.1000;0.0150;0.0667;0.2000;0.0;0.0080;0.0466;0.0229;0.0297;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0056;0.0347;0.0542;0.0315;0.0347;0.0832;0.0714;0.0316;0.0569;0.0746;0.0347;0.0359;131;4;0.0;0.0;0.0076;0.0153;0.0305;0.0153;0.0;0.0153;0.0229;0.0153;0.0076;0.0;0.0305;0.5000;0.0;0.1000;0.0200;0.0305;0.1333;0.0;0.1000;0.0229;0.0667;0.2000;0.0;0.0305;0.0071;0.0040;0.0001;0.0305;0.0305;0.0000;1.0000;1.0000
269;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;27;0;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
270;0.0663;0.0;0.3000;0.0600;0.0080;0.2000;0.0;0.1500;0.0350;0.1000;0.4000;0.0;0.0140;0.1111;0.0758;0.1093;0.6667;0.0631;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0267;0.1140;0.1595;0.0923;0.1140;0.1280;0.1121;0.1047;0.0984;0.1502;0.1047;0.1148;66;8;0.0;0.0;0.0455;0.0909;0.1212;0.0455;0.0;0.0455;0.1061;0.0455;0.0303;0.0;0.1061;0.5000;0.0;0.3000;0.0909;0.1212;0.2000;0.0;0.1500;0.1061;0.1000;0.4000;0.0;0.1061;0.0150;0.0080;0.0010;0.1212;0.1212;0.0000;1.0000;1.0000
