requete;11pt_avg;P_1;P_10;P_100;P_1000;P_15;P_2;P_20;P_200;P_30;P_5;P_50;P_500;Rndcg;Rprec;bpref;iprec_at_recall_0.00;iprec_at_recall_0.10;iprec_at_recall_0.20;iprec_at_recall_0.30;iprec_at_recall_0.40;iprec_at_recall_0.50;iprec_at_recall_0.60;iprec_at_recall_0.70;iprec_at_recall_0.80;iprec_at_recall_0.90;iprec_at_recall_1.00;map;ndcg;ndcg_cut_10;ndcg_cut_100;ndcg_cut_1000;ndcg_cut_15;ndcg_cut_20;ndcg_cut_200;ndcg_cut_30;ndcg_cut_5;ndcg_cut_500;ndcg_rel;num_rel;num_rel_ret;num_ret;recall_1;recall_10;recall_100;recall_1000;recall_15;recall_2;recall_20;recall_200;recall_30;recall_5;recall_50;recall_500;recip_rank;relative_P_1;relative_P_10;relative_P_100;relative_P_1000;relative_P_15;relative_P_2;relative_P_20;relative_P_200;relative_P_30;relative_P_5;relative_P_50;relative_P_500;set_F;set_P;set_map;set_recall;set_relative_P;success_1;success_10;success_5
290;0.0455;0.0;0.1000;0.0100;0.0010;0.0667;0.0;0.0500;0.0050;0.0333;0.2000;0.0;0.0020;0.0689;0.0333;0.0322;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0167;0.0689;0.1389;0.0689;0.0689;0.1076;0.0896;0.0689;0.0689;0.2140;0.0689;0.0795;30;1;0.0;0.0;0.0333;0.0333;0.0333;0.0333;0.0;0.0333;0.0333;0.0333;0.0333;0.0;0.0333;0.5000;0.0;0.1000;0.0333;0.0333;0.0667;0.0;0.0500;0.0333;0.0333;0.2000;0.0;0.0333;0.0019;0.0010;0.0000;0.0333;0.0333;0.0000;1.0000;1.0000
291;0.0005;0.0;0.0000;0.0000;0.0010;0.0000;0.0;0.0000;0.0050;0.0000;0.0000;0.0;0.0020;0.0026;0.0000;0.0248;0.0053;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0002;0.0104;0.0000;0.0000;0.0104;0.0000;0.0000;0.0104;0.0000;0.0000;0.0104;0.0104;22;1;0.0;0.0;0.0000;0.0000;0.0455;0.0000;0.0;0.0000;0.0455;0.0000;0.0000;0.0;0.0455;0.0053;0.0;0.0000;0.0000;0.0455;0.0000;0.0;0.0000;0.0455;0.0000;0.0000;0.0;0.0455;0.0020;0.0010;0.0000;0.0455;0.0455;0.0000;0.0000;0.0000
292;0.0909;0.0;0.5000;0.1500;0.0210;0.3333;0.0;0.3500;0.0750;0.2333;0.8000;0.0;0.0380;0.2406;0.0519;0.0677;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0231;0.1217;0.5251;0.2199;0.1217;0.4282;0.4232;0.1353;0.3372;0.6390;0.1182;0.1378;308;21;0.0;0.0;0.0162;0.0487;0.0682;0.0162;0.0;0.0227;0.0487;0.0227;0.0130;0.0;0.0617;1.0000;0.0;0.5000;0.1500;0.0682;0.3333;0.0;0.3500;0.0750;0.2333;0.8000;0.0;0.0617;0.0321;0.0210;0.0014;0.0682;0.0682;1.0000;1.0000;1.0000
293;0.0165;0.0;0.1000;0.0300;0.0080;0.1333;0.0;0.1000;0.0200;0.0667;0.0000;0.0;0.0120;0.0442;0.0248;0.0607;0.1818;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0039;0.0518;0.0500;0.0347;0.0518;0.0766;0.0668;0.0355;0.0542;0.0000;0.0468;0.0519;121;8;0.0;0.0;0.0083;0.0248;0.0661;0.0165;0.0;0.0165;0.0331;0.0165;0.0000;0.0;0.0496;0.1429;0.0;0.1000;0.0300;0.0661;0.1333;0.0;0.1000;0.0331;0.0667;0.0000;0.0;0.0496;0.0143;0.0080;0.0005;0.0661;0.0661;0.0000;1.0000;0.0000
294;0.0303;0.0;0.2000;0.0300;0.0080;0.2000;0.0;0.1500;0.0300;0.1000;0.2000;0.0;0.0160;0.0425;0.0230;0.0298;0.3333;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0034;0.0434;0.1737;0.0499;0.0434;0.1783;0.1484;0.0450;0.1141;0.1696;0.0434;0.0452;261;8;0.0;0.0;0.0077;0.0115;0.0307;0.0115;0.0;0.0115;0.0230;0.0115;0.0038;0.0;0.0307;0.3333;0.0;0.2000;0.0300;0.0307;0.2000;0.0;0.1500;0.0300;0.1000;0.2000;0.0;0.0307;0.0127;0.0080;0.0002;0.0307;0.0307;0.0000;1.0000;1.0000
295;0.0909;0.0;0.5000;0.0700;0.0070;0.3333;0.0;0.2500;0.0350;0.2333;0.6000;0.0;0.0140;0.1885;0.0824;0.0804;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0528;0.1637;0.4441;0.1637;0.1637;0.3443;0.2866;0.1637;0.2537;0.4566;0.1637;0.1885;85;7;0.0;0.0;0.0588;0.0824;0.0824;0.0588;0.0;0.0588;0.0824;0.0824;0.0353;0.0;0.0824;1.0000;0.0;0.5000;0.0824;0.0824;0.3333;0.0;0.2500;0.0824;0.2333;0.6000;0.0;0.0824;0.0129;0.0070;0.0006;0.0824;0.0824;1.0000;1.0000;1.0000
296;0.0909;0.0;0.1000;0.0600;0.0060;0.0667;0.0;0.0500;0.0300;0.0333;0.2000;0.0;0.0120;0.0547;0.0385;0.0374;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0089;0.0512;0.0734;0.0629;0.0512;0.0615;0.0537;0.0512;0.0437;0.1131;0.0512;0.0532;156;6;0.0;0.0;0.0064;0.0385;0.0385;0.0064;0.0;0.0064;0.0385;0.0064;0.0064;0.0;0.0385;1.0000;0.0;0.1000;0.0600;0.0385;0.0667;0.0;0.0500;0.0385;0.0333;0.2000;0.0;0.0385;0.0104;0.0060;0.0002;0.0385;0.0385;1.0000;1.0000;1.0000
297;0.0909;0.0;0.2000;0.0400;0.0080;0.2667;0.0;0.2000;0.0300;0.1333;0.4000;0.0;0.0160;0.2220;0.0366;0.0477;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0164;0.0870;0.2942;0.0983;0.0870;0.3144;0.2683;0.0791;0.2123;0.4131;0.0870;0.0958;164;8;0.0;0.0;0.0122;0.0244;0.0488;0.0244;0.0;0.0244;0.0366;0.0244;0.0122;0.0;0.0488;1.0000;0.0;0.2000;0.0400;0.0488;0.2667;0.0;0.2000;0.0366;0.1333;0.4000;0.0;0.0488;0.0137;0.0080;0.0004;0.0488;0.0488;1.0000;1.0000;1.0000
298;0.0909;0.0;0.5000;0.0600;0.0110;0.3333;0.0;0.2500;0.0400;0.1667;0.6000;0.0;0.0220;0.0973;0.0464;0.0710;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0302;0.0827;0.2071;0.0773;0.0827;0.1605;0.1336;0.0748;0.1117;0.2342;0.0827;0.0892;151;11;0.0;0.0;0.0331;0.0397;0.0728;0.0331;0.0;0.0331;0.0530;0.0331;0.0199;0.0;0.0728;1.0000;0.0;0.5000;0.0600;0.0728;0.3333;0.0;0.2500;0.0530;0.1667;0.6000;0.0;0.0728;0.0191;0.0110;0.0008;0.0728;0.0728;1.0000;1.0000;1.0000
299;0.0909;0.0;0.3000;0.0600;0.0070;0.2000;0.0;0.1500;0.0350;0.1000;0.4000;0.0;0.0140;0.4162;0.0451;0.0501;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0163;0.1269;0.4849;0.1482;0.1269;0.3917;0.3343;0.1269;0.2645;0.6045;0.1269;0.1429;133;7;0.0;0.0;0.0226;0.0451;0.0526;0.0226;0.0;0.0226;0.0526;0.0226;0.0150;0.0;0.0526;1.0000;0.0;0.3000;0.0600;0.0526;0.2000;0.0;0.1500;0.0526;0.1000;0.4000;0.0;0.0526;0.0124;0.0070;0.0004;0.0526;0.0526;1.0000;1.0000;1.0000
300;0.0001;0.0;0.0000;0.0000;0.0010;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0019;0.0000;0.0146;0.0012;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0057;0.0000;0.0000;0.0057;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0057;62;1;0.0;0.0;0.0000;0.0000;0.0161;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0012;0.0;0.0000;0.0000;0.0161;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0019;0.0010;0.0000;0.0161;0.0161;0.0000;0.0000;0.0000
